,good,units,fr_5min,fr,depth
0,1.0,951765822,0.7232048694741929,0.928530159742597,-560.0
1,1.0,951765861,1.0899977697816783,6.08938941625127,-500.0
2,1.0,951765893,22.384747849897387,30.0545374798486,-480.0
3,1.0,951765956,12.855053062663284,14.0543724814474,-420.0
4,1.0,951766060,0.8027920082201567,3.97410494217218,-260.0
5,1.0,951766159,1.3495210483011255,3.20347046637332,-120.0
6,1.0,951766181,1.716313948608611,3.05799936083827,-80.0
7,1.0,951766197,0.7785698355583416,2.7116642376961,-60.0
8,1.0,951766247,1.17996583966842,7.19320966970977,-20.0
9,1.0,951766234,4.349610147985935,4.70104631723382,-20.0
10,1.0,951766228,0.8581569743043055,1.30354535137816,-20.0
11,1.0,951766259,0.9896487687541586,2.40705499037644,0.0
12,1.0,951766252,2.034662503592466,7.69640509526162,0.0
13,1.0,951766283,2.6090740267155095,10.720754556243,20.0
14,1.0,951766275,5.0278309825167575,10.1206474191034,20.0
15,1.0,951766270,5.2250686741915375,13.1517268600562,20.0
16,1.0,951766790,1.318378254878792,2.85061243956659,40.0
17,1.0,951766311,5.477671331950466,11.630751386526,40.0
18,1.0,951766367,0.643617730728229,3.161537514244,60.0
19,1.0,951766336,3.695611486116928,6.97484770417708,60.0
20,1.0,951766426,0.7820301459386009,3.76516494859942,80.0
21,1.0,951766418,2.8582163740941784,8.7781717220447,80.0
22,1.0,951766410,0.5190465570388945,4.04451088648808,80.0
23,1.0,951766402,1.2595529784143837,4.70394538552918,80.0
24,1.0,951766393,1.823583570396649,8.28978225242987,80.0
25,1.0,951766457,12.813529338100173,10.753161998259,120.0
26,1.0,951766522,4.557228770801493,11.1489883587291,200.0
